gene	uniprot	locus_tag	organism	refseq_genome	ss_type	sys_instance_id	evidence_level	primary_ref
lipoprotein	Q9KPL2	VC_2298	Vibrio cholerae N16961	NC_002505.1	T2SS	Eps (epsC-N)	validated	doi:10.1074/jbc.M110.211078
lipA	P15493	VC_A0221	Vibrio cholerae N16961	NC_002506.1	T2SS	Eps (epsC-N)	validated	doi:10.1074/jbc.M110.211078
toxA	P11439	PA1148	Pseudomonas aeruginosa PAO1	NC_002516.2	T2SS	Xcp (xcpP-Z)	validated	doi:10.3389/fmicb.2011.00155
lasB	P14756	PA3724	Pseudomonas aeruginosa PAO1	NC_002516.2	T2SS	Xcp (xcpP-Z)	validated	doi:10.3389/fmicb.2011.00155
lasA	P15524	PA1871	Pseudomonas aeruginosa PAO1	NC_002516.2	T2SS	Xcp (xcpP-Z)	validated	doi:10.3389/fmicb.2011.00155
lipA	P26876	PA2862	Pseudomonas aeruginosa PAO1	NC_002516.2	T2SS	Xcp (xcpP-Z)	validated	doi:10.3389/fmicb.2011.00155
lipC	Q9HVH3	PA4813	Pseudomonas aeruginosa PAO1	NC_002516.2	T2SS	Xcp (xcpP-Z)	validated	doi:10.3389/fmicb.2011.00155
loxA	Q9I4F1	PA1169	Pseudomonas aeruginosa PAO1	NC_002516.2	T2SS	Xcp (xcpP-Z)	predicted	doi:10.3389/fmicb.2011.00155
paAP	Q9I1S7	PA2939	Pseudomonas aeruginosa PAO1	NC_002516.2	T2SS	Xcp (xcpP-Z)	validated	doi:10.3389/fmicb.2011.00155
phoA	P35483	PA3296	Pseudomonas aeruginosa PAO1	NC_002516.2	T2SS	Xcp (xcpP-Z)	validated	doi:10.3389/fmicb.2011.00155
plcB	Q9I7B6	PA0026	Pseudomonas aeruginosa PAO1	NC_002516.2	T2SS	Xcp (xcpP-Z)	validated	doi:10.3389/fmicb.2011.00155
plcH	P15713	PA0844	Pseudomonas aeruginosa PAO1	NC_002516.2	T2SS	Xcp (xcpP-Z)	validated	doi:10.3389/fmicb.2011.00155
plcN	P15712	PA3319	Pseudomonas aeruginosa PAO1	NC_002516.2	T2SS	Xcp (xcpP-Z)	validated	doi:10.3389/fmicb.2011.00155
pmpA	Q9I6F3	PA0572	Pseudomonas aeruginosa PAO1	NC_002516.2	T2SS	Xcp (xcpP-Z)	predicted	doi:10.3389/fmicb.2011.00155
prpL	Q9HW84	PA4175	Pseudomonas aeruginosa PAO1	NC_002516.2	T2SS	Xcp (xcpP-Z)	validated	doi:10.3389/fmicb.2011.00155
cbpD	Q9I6J3	PA0852	Pseudomonas aeruginosa PAO1	NC_002516.2	T2SS	Xcp (xcpP-Z)	validated	doi:10.3389/fmicb.2011.00155
lapA	Q9I6V7	PA0688	Pseudomonas aeruginosa PAO1	NC_002516.2	T2SS	Hxc (hxcQ-Z)	validated	doi:10.3389/fmicb.2011.00155
proA	Q5ZRW3	lpg2754	Legionella pneumophila Philadelphia-1	NC_002942.5	T2SS	Lsp (lspD-K)	validated	doi:10.1111/j.1462-2920.2009.02014.x
srnA	Q5ZWX0	lpg0944	Legionella pneumophila Philadelphia-1	NC_002942.5	T2SS	Lsp (lspD-K)	validated	doi:10.1111/j.1462-2920.2009.02014.x
plaA	Q5ZWY8	lpg0926	Legionella pneumophila Philadelphia-1	NC_002942.5	T2SS	Lsp (lspD-K)	validated	doi:10.1111/j.1462-2920.2009.02014.x
plaC	Q5ZVN6	lpg1411	Legionella pneumophila Philadelphia-1	NC_002942.5	T2SS	Lsp (lspD-K)	validated	doi:10.1111/j.1462-2920.2009.02014.x
chiA	Q5ZWG9	lpg1116	Legionella pneumophila Philadelphia-1	NC_002942.5	T2SS	Lsp (lspD-K)	validated	doi:10.1111/j.1462-2920.2009.02014.x
celA	Q5ZU89	lpg1918	Legionella pneumophila Philadelphia-1	NC_002942.5	T2SS	Lsp (lspD-K)	validated	doi:10.1111/j.1462-2920.2009.02014.x
plcA	Q5ZVI5	lpg1455	Legionella pneumophila Philadelphia-1	NC_002942.5	T2SS	Lsp (lspD-K)	validated	doi:10.1111/j.1462-2920.2009.02014.x
nttA	Q5ZVQ8	lpg1385	Legionella pneumophila Philadelphia-1	NC_002942.5	T2SS	Lsp (lspD-K)	validated	doi:10.1128/iai.00045-13
nttB	Q5ZWT0	lpg0978	Legionella pneumophila Philadelphia-1	NC_002942.5	T2SS	Lsp (lspD-K)	validated	doi:10.1128/iai.00045-13
nttC	Q5ZUC0	lpg1809	Legionella pneumophila Philadelphia-1	NC_002942.5	T2SS	Lsp (lspD-K)	validated	doi:10.1128/iai.00045-13
nttD	Q5ZUH7	lpg1717	Legionella pneumophila Philadelphia-1	NC_002942.5	T2SS	Lsp (lspD-K)	validated	doi:10.1128/iai.00045-13
nttE	Q5ZYR4	lpg0189	Legionella pneumophila Philadelphia-1	NC_002942.5	T2SS	Lsp (lspD-K)	validated	doi:10.3389/fmolb.2020.00112
nttG	Q5ZW17	lpg1330	Legionella pneumophila Philadelphia-1	NC_002942.5	T2SS	Lsp (lspD-K)	predicted	doi:10.3389/fmolb.2020.00112
legP	Q5ZR84	lpg2999	Legionella pneumophila Philadelphia-1	NC_002942.5	T2SS	Lsp (lspD-K)	validated	doi:10.1128/IAI.06031-11
lapA	Q5ZS85	lpg2634	Legionella pneumophila Philadelphia-1	NC_002942.5	T2SS	Lsp (lspD-K)	validated	doi:10.1111/j.1462-2920.2009.02014.x
lapB	Q5ZRR6	lpg2814	Legionella pneumophila Philadelphia-1	NC_002942.5	T2SS	Lsp (lspD-K)	validated	doi:10.1111/j.1462-2920.2009.02014.x
lipA	Q5ZS80	lpg2645	Legionella pneumophila Philadelphia-1	NC_002942.5	T2SS	Lsp (lspD-K)	predicted	doi:10.1111/j.1462-2920.2009.02014.x
map	Q5ZTV4	lpg2452	Legionella pneumophila Philadelphia-1	NC_002942.5	T2SS	Lsp (lspD-K)	validated	doi:10.1111/j.1462-2920.2009.02014.x
lcl	Q5ZW40	lpg1313	Legionella pneumophila Philadelphia-1	NC_002942.5	T2SS	Lsp (lspD-K)	validated	doi:10.1111/j.1462-2920.2009.02014.x
celZ	P07103	Dda3937_02793	Dickeya dadantii 3937	NC_014500.1	T2SS	Out (outC-S)	validated	doi:10.1146/annurev-micro-102215-095506
celY	P27032	Dda3937_01994	Dickeya dadantii 3937	NC_014500.1	T2SS	Out (outC-S)	validated	doi:10.1146/annurev-micro-102215-095506
pelA	P0C1A3	Dda3937_03370	Dickeya dadantii 3937	NC_014500.1	T2SS	Out (outC-S)	validated	doi:10.1146/annurev-micro-102215-095506
pelB	E0SJQ6	Dda3937_04193	Dickeya dadantii 3937	NC_014500.1	T2SS	Out (outC-S)	validated	doi:10.1146/annurev-micro-102215-095506
pelC	E0SJQ7	Dda3937_04192	Dickeya dadantii 3937	NC_014500.1	T2SS	Out (outC-S)	validated	doi:10.1146/annurev-micro-102215-095506
pelD	E0SAZ3	Dda3937_03372	Dickeya dadantii 3937	NC_014500.1	T2SS	Out (outC-S)	validated	doi:10.1146/annurev-micro-102215-095506
pelE	P0C1A5	Dda3937_03371	Dickeya dadantii 3937	NC_014500.1	T2SS	Out (outC-S)	validated	doi:10.1146/annurev-micro-102215-095506
pelI	E0SM75	Dda3937_00058	Dickeya dadantii 3937	NC_014500.1	T2SS	Out (outC-S)	validated	doi:10.1146/annurev-micro-102215-095506
pelL	P0C1A7	Dda3937_02794	Dickeya dadantii 3937	NC_014500.1	T2SS	Out (outC-S)	validated	doi:10.1146/annurev-micro-102215-095506
pelN	E0SJQ8	Dda3937_04191	Dickeya dadantii 3937	NC_014500.1	T2SS	Out (outC-S)	validated	doi:10.1128/JB.00146-13
pelZ	E0SJQ8	Dda3937_04191	Dickeya dadantii 3937	NC_014500.1	T2SS	Out (outC-S)	predicted	doi:10.1146/annurev-micro-102215-095506
pemA	P0C1A9	Dda3937_03374	Dickeya dadantii 3937	NC_014500.1	T2SS	Out (outC-S)	validated	doi:10.1146/annurev-micro-102215-095506
pemB	Q47474	Dda3937_03435	Dickeya dadantii 3937	NC_014500.1	T2SS	Out (outC-S)	validated	doi:10.1146/annurev-micro-102215-095506
paeY	E0SAZ4	Dda3937_03373	Dickeya dadantii 3937	NC_014500.1	T2SS	Out (outC-S)	validated	doi:10.1146/annurev-micro-102215-095506
paeX	E0SDD1	Dda3937_03363	Dickeya dadantii 3937	NC_014500.1	T2SS	Out (outC-S)	validated	doi:10.1146/annurev-micro-102215-095506
prtA	E0SC28	Dda3937_03861	Dickeya dadantii 3937	NC_014500.1	T2SS	Out (outC-S)	validated	doi:10.1146/annurev-micro-102215-095506
prtB	E0SC30	Dda3937_04583	Dickeya dadantii 3937	NC_014500.1	T2SS	Out (outC-S)	predicted	doi:10.1146/annurev-micro-102215-095506
prtC	E0SC29	Dda3937_03860	Dickeya dadantii 3937	NC_014500.1	T2SS	Out (outC-S)	predicted	doi:10.1146/annurev-micro-102215-095506
prtG	E0SC35	Dda3937_01649	Dickeya dadantii 3937	NC_014500.1	T2SS	Out (outC-S)	predicted	doi:10.1146/annurev-micro-102215-095506
pulA	P07206	pulA	Klebsiella oxytoca M5al	X12831	T2SS	Pul (pulC-O)	validated	doi:10.1128/jb.172.9.4948-4956.1990
aerA	P09167	aerA	Aeromonas hydrophila ATCC 7966	NC_008570.1	T2SS	Exe (exeC-N)	validated	doi:10.1146/annurev-micro-102215-095506
lip	P40600	lip	Aeromonas hydrophila ATCC 7966	NC_008570.1	T2SS	Exe (exeC-N)	validated	doi:10.1146/annurev-micro-102215-095506
amyA	P41131	amyA	Aeromonas hydrophila ATCC 7966	NC_008570.1	T2SS	Exe (exeC-N)	validated	doi:10.1146/annurev-micro-102215-095506
ahpA	A0KGD8	AHA_0581	Aeromonas hydrophila ATCC 7966	NC_008570.1	T2SS	Exe (exeC-N)	predicted	doi:10.3389/fmicb.2016.01337
ahpB	A0KGD7	AHA_0582	Aeromonas hydrophila ATCC 7966	NC_008570.1	T2SS	Exe (exeC-N)	predicted	doi:10.3389/fmicb.2016.01337
gcat	Q44268	satA	Aeromonas hydrophila ATCC 7966	NC_008570.1	T2SS	Exe (exeC-N)	validated	doi:10.3389/fmicb.2016.01337
ash3	Q08676	ash3	Aeromonas salmonicida A449	NC_009348.1	T2SS	Exe (exeC-N)	validated	doi:10.1128/JB.183.20.5956-5963.2001
egl	Q9EVR6	XCC2387	Xanthomonas campestris pv. campestris ATCC 33913	NC_003902.1	T2SS	Xps (xpsE-N)	validated	doi:10.1016/S2001-0370(20)30354-6
xynA	Q4UTQ7	XC_0532	Xanthomonas campestris pv. campestris 8004	NC_007086.1	T2SS	Xps (xpsE-N)	validated	doi:10.1016/S2001-0370(20)30354-6
pglA	Q56986	pglA	Xanthomonas campestris pv. campestris	NC_003902.1	T2SS	Xps (xpsE-N)	validated	doi:10.1016/S2001-0370(20)30354-6
xynB2	Q3BL26	XCV4358	Xanthomonas euvesicatoria 85-10	NC_007508.1	T2SS	Xps (xpsE-N)	validated	doi:10.1128/jb.00322-15
xynB3	Q3BL24	XCV4360	Xanthomonas euvesicatoria 85-10	NC_007508.1	T2SS	Xps (xpsE-N)	validated	doi:10.1128/jb.00322-15
xynB1	Q3BVK6	XCV0965	Xanthomonas euvesicatoria 85-10	NC_007508.1	T2SS	Xps (xpsE-N)	validated	doi:10.1128/jb.00322-15
prtA	Q3BFK4	XCV3671	Xanthomonas euvesicatoria 85-10	NC_007508.1	T2SS	Xps (xpsE-N)	validated	doi:10.1128/jb.00322-15
lipA	Q3BXC2	XCV0536	Xanthomonas euvesicatoria 85-10	NC_007508.1	T2SS	Xps (xpsE-N)	validated	doi:10.1128/jb.00322-15
chiY	A1JQR2	YE3650	Yersinia enterocolitica 8081	NC_008800.1	T2SS	Yts1 (yts1A-N)	validated	doi:10.1111/j.1365-2958.2009.06998.x
engY	A1JU21	YE2830	Yersinia enterocolitica 8081	NC_008800.1	T2SS	Yts1 (yts1A-N)	validated	doi:10.1111/j.1365-2958.2009.06998.x
ye3650	A1JQR7	YE3650	Yersinia enterocolitica 8081	NC_008800.1	T2SS	Yts1 (yts1A-N)	validated	doi:10.1111/j.1365-2958.2009.06998.x
stmPr1	Q93IQ4	Smlt0861	Stenotrophomonas maltophilia K279a	NC_010943.1	T2SS	Xps (xpsE-N)	validated	doi:10.1128/IAI.00388-15
stmPr2	B2FQ52	Smlt0177	Stenotrophomonas maltophilia K279a	NC_010943.1	T2SS	Xps (xpsE-N)	validated	doi:10.1128/IAI.00388-15
stmPr3	B2FT85	Smlt1334	Stenotrophomonas maltophilia K279a	NC_010943.1	T2SS	Xps (xpsE-N)	validated	doi:10.1128/IAI.00388-15
zmpA	Q7WSN3	BCAL2284	Burkholderia cenocepacia J2315	NC_011000.1	T2SS	T2SS	validated	doi:10.1099/mic.0.27353-0
zmpB	B4EAE2	BCAL0916	Burkholderia cenocepacia J2315	NC_011000.1	T2SS	T2SS	validated	doi:10.1099/mic.0.27353-0
cbpE	M4UMV5	PSPA7_3026	Pseudomonas aeruginosa PA7	NC_009656.1	T2SS	Txc (txcQ-Z)	validated	doi:10.1128/JB.01563-14
