gene	uniprot	locus_tag	organism	refseq_genome	ss_type	sys_instance_id	evidence_level	primary_ref
TseC_T6SS1	-	BTH_I2693	Burkholderia thailandensis E264	NC_007651.1	T6SS	T6SS-1	validated	10.1371/journal.ppat.1001068
TseD_T6SS1	-	BTH_I2694	Burkholderia thailandensis E264	NC_007651.1	T6SS	T6SS-1	validated	10.1371/journal.ppat.1001068
Hcp1	-	BTH_I2965	Burkholderia thailandensis E264	NC_007651.1	T6SS	T6SS-1	validated	10.1371/journal.ppat.1001068
VgrG1_BT	-	BTH_I2961	Burkholderia thailandensis E264	NC_007651.1	T6SS	T6SS-1	validated	10.1371/journal.ppat.1001068
PoreEffector_BT	-	BTH_II2127	Burkholderia thailandensis E264	NC_007650.1	T6SS	T6SS-1	validated	10.1101/2024.11.27.625605
Tse6_BT_Mn	-	BTH_I0070	Burkholderia thailandensis E264	NC_007651.1	T6SS	T6SS-1	validated	10.1038/nature13965
TseM_Mn_binding	-	BTH_II1883	Burkholderia thailandensis E264	NC_007650.1	T6SS	T6SS-1	validated	10.1073/pnas.1614902114
RbsB_metal_scav	-	BTH_II1884	Burkholderia thailandensis E264	NC_007650.1	T6SS	T6SS-1	validated	10.1073/pnas.1614902114
VgrG5_BT	-	BTH_II0859	Burkholderia thailandensis E264	NC_007650.1	T6SS	T6SS-5	validated	10.1128/IAI.01615-13
TssM5	-	BTH_II0866	Burkholderia thailandensis E264	NC_007650.1	T6SS	T6SS-5	validated	10.3389/fmicb.2018.03339
BimA	Q63JM7	BTH_II0875	Burkholderia thailandensis E264	NC_007650.1	T6SS	T6SS-5	validated	10.3389/fmicb.2018.03339
BopA	-	BTH_II0876	Burkholderia thailandensis E264	NC_007650.1	T6SS	T6SS-5	validated	10.1016/j.chom.2024.04.012
BopE	-	BTH_II0874	Burkholderia thailandensis E264	NC_007650.1	T6SS	T6SS-5	validated	10.1016/j.chom.2024.04.012
BopC	-	BTH_II0865	Burkholderia thailandensis E264	NC_007650.1	T6SS	T6SS-5	validated	10.1016/j.chom.2024.04.012
Hcp5	-	BTH_II0855	Burkholderia thailandensis E264	NC_007650.1	T6SS	T6SS-5	validated	10.3389/fmicb.2018.03339
Hcp2_BT	-	BTH_II1880	Burkholderia thailandensis E264	NC_007650.1	T6SS	T6SS-2	predicted	10.1371/journal.ppat.1001068
VgrG2_BT	-	BTH_II1881	Burkholderia thailandensis E264	NC_007650.1	T6SS	T6SS-2	validated	10.3389/fcimb.2022.811373
Hcp3_BT	-	BTH_II1043	Burkholderia thailandensis E264	NC_007650.1	T6SS	T6SS-3	predicted	10.1371/journal.ppat.1001068
VgrG3_BT	-	BTH_II1044	Burkholderia thailandensis E264	NC_007650.1	T6SS	T6SS-3	predicted	10.1371/journal.ppat.1001068
Hcp4_BT	-	BTH_II0410	Burkholderia thailandensis E264	NC_007650.1	T6SS	T6SS-4	predicted	10.1371/journal.ppat.1001068
VgrG4_BT	-	BTH_II0411	Burkholderia thailandensis E264	NC_007650.1	T6SS	T6SS-4	predicted	10.1371/journal.ppat.1001068
# Vibrio cholerae N16961 — large cluster + Aux1 + Aux2 + Aux3 (pandemic). RefSeq NC_002505.1 (chr I) + NC_002506.1 (chr II).
VasH	Q9KNF7	VC_A0117	Vibrio cholerae N16961	NC_002506.1	T6SS	Large-T6SS	validated	10.1128/JB.05414-11
VgrG-3	Q9KN42	VC_A0123	Vibrio cholerae N16961	NC_002506.1	T6SS	Large-T6SS	validated	10.1073/pnas.1222783110
TseL	Q9KS43	VC_1418	Vibrio cholerae N16961	NC_002505.1	T6SS	Aux1	validated	10.1073/pnas.1222783110
TsiV1	Q9KS42	VC_1419	Vibrio cholerae N16961	NC_002505.1	T6SS	Aux1	validated	10.1073/pnas.1222783110
VgrG-1	Q9KS45	VC_1416	Vibrio cholerae N16961	NC_002505.1	T6SS	Aux1	validated	10.1073/pnas.0510603103
Hcp-1	Q9KS44	VC_1417	Vibrio cholerae N16961	NC_002505.1	T6SS	Aux1	validated	10.1073/pnas.0510603103
TseH	-	VC_A0285	Vibrio cholerae N16961	NC_002506.1	T6SS	Aux3	validated	10.1101/868539
TsiH	-	VC_A0286	Vibrio cholerae N16961	NC_002506.1	T6SS	Aux3	validated	10.1101/868539
PAAR2_VC	-	VC_A0284	Vibrio cholerae N16961	NC_002506.1	T6SS	Aux3	validated	10.1101/868539
VasX	Q9KNE5	VC_A0020	Vibrio cholerae N16961	NC_002506.1	T6SS	Aux2	validated	10.1128/IAI.01266-10
VgrG-2	Q9KNE7	VC_A0018	Vibrio cholerae N16961	NC_002506.1	T6SS	Aux2	validated	10.1073/pnas.1222783110
Hcp-2	Q9KNE6	VC_A0019	Vibrio cholerae N16961	NC_002506.1	T6SS	Aux2	validated	10.1073/pnas.1222783110
TsiV2	-	VC_A0021	Vibrio cholerae N16961	NC_002506.1	T6SS	Aux2	validated	10.1371/journal.ppat.1004031
# Vibrio cholerae environmental isolates / Aux4 / Aux5 (per Crisan/Hammer 2019; Santoriello 2020)
TpeV	-	-	Vibrio cholerae BGT49	-	T6SS	Aux4	validated	10.1101/2020.07.07.192401
TleV1	-	-	Vibrio cholerae 1587	-	T6SS	Aux5	validated	10.1186/s12866-019-1568-6
# Acinetobacter baumannii ATCC 17978 — single T6SS. RefSeq NC_009085.1.
Tse1_AB_Tle1AB	-	ACX60_17660	Acinetobacter baumannii ATCC 17978	NC_009085.1	T6SS	T6SS	validated	10.3389/fmicb.2019.02440
Tse2_AB_Tde2AB	-	A1S_1296	Acinetobacter baumannii ATCC 17978	NC_009085.1	T6SS	T6SS	validated	10.1371/journal.pone.0138265
Tse3_AB	-	ACX60_11695	Acinetobacter baumannii ATCC 17978	NC_009085.1	T6SS	T6SS	validated	10.3389/fmicb.2019.02440
Tse4_AB_Tpe4AB	-	ACX60_00605	Acinetobacter baumannii ATCC 17978	NC_009085.1	T6SS	T6SS	validated	10.3389/fmicb.2019.02440
TafE	-	ACX60_15365	Acinetobacter baumannii ATCC 17978	NC_009085.1	T6SS	T6SS	validated	10.3389/fmicb.2019.02440
Rhs1_AB	-	A1S_1292	Acinetobacter baumannii AB307-0294	NZ_CP012003	T6SS	T6SS	validated	10.1128/mBio.00876-18
Rhs2_AB_DNase	-	-	Acinetobacter baumannii AB307-0294	NZ_CP012003	T6SS	T6SS	validated	10.1128/mBio.00876-18
Tde1_AB_anti_fungal	-	-	Acinetobacter baumannii	-	T6SS	T6SS	validated	10.1128/mbio.03420-22
# Serratia marcescens Db10 — single T6SS, gold standard.
Ssp1	-	SMDB11_2280	Serratia marcescens Db10	NZ_HG326223.1	T6SS	T6SS	validated	10.1111/mmi.12028
Ssp2	-	SMDB11_2270	Serratia marcescens Db10	NZ_HG326223.1	T6SS	T6SS	validated	10.1111/mmi.12028
Ssp3	-	SMDB11_2342	Serratia marcescens Db10	NZ_HG326223.1	T6SS	T6SS	validated	10.1074/mcp.M113.030502
Ssp4	-	SMDB11_2343	Serratia marcescens Db10	NZ_HG326223.1	T6SS	T6SS	validated	10.1074/mcp.M113.030502
Ssp5	-	SMDB11_2278	Serratia marcescens Db10	NZ_HG326223.1	T6SS	T6SS	validated	10.1074/mcp.M113.030502
Ssp6	-	SMDB11_4259	Serratia marcescens Db10	NZ_HG326223.1	T6SS	T6SS	validated	10.1038/s44318-025-00587-x
Rhs1_SM	-	SMDB11_2279	Serratia marcescens Db10	NZ_HG326223.1	T6SS	T6SS	validated	10.1128/JB.00199-15
Rhs2_SM	-	SMDB11_2369	Serratia marcescens Db10	NZ_HG326223.1	T6SS	T6SS	validated	10.1128/JB.00199-15
EagR1	-	SMDB11_2277	Serratia marcescens Db10	NZ_HG326223.1	T6SS	T6SS	validated	10.1128/JB.00199-15
EagR2	-	SMDB11_2367	Serratia marcescens Db10	NZ_HG326223.1	T6SS	T6SS	validated	10.1128/JB.00199-15
Tfe1_anti_fungal	-	-	Serratia marcescens Db10	NZ_HG326223.1	T6SS	T6SS	validated	10.1038/s41564-020-0710-4
Tfe2_anti_fungal	-	-	Serratia marcescens Db10	NZ_HG326223.1	T6SS	T6SS	validated	10.1038/s41564-020-0710-4
Hcp1_SM	-	SMDB11_2272	Serratia marcescens Db10	NZ_HG326223.1	T6SS	T6SS	validated	10.1111/mmi.12028
VgrG1_SM	-	SMDB11_2274	Serratia marcescens Db10	NZ_HG326223.1	T6SS	T6SS	validated	10.1371/journal.ppat.1005735
VgrG2_SM	-	SMDB11_2366	Serratia marcescens Db10	NZ_HG326223.1	T6SS	T6SS	validated	10.1371/journal.ppat.1005735
PAAR_SM	-	SMDB11_2275	Serratia marcescens Db10	NZ_HG326223.1	T6SS	T6SS	validated	10.1371/journal.ppat.1005735
# Yersinia pseudotuberculosis IP32953 / YPIII — T6SS-4 best studied. RefSeq NC_006155.1.
YezP_Zn_binding	-	YPK_3549	Yersinia pseudotuberculosis YPIII	NC_010465.1	T6SS	T6SS-4	validated	10.1038/cr.2013.150
T6SS4_effector_3548	-	YPK_3548	Yersinia pseudotuberculosis YPIII	NC_010465.1	T6SS	T6SS-4	validated	10.1371/journal.ppat.1013356
YPK_0952_DNase	-	YPK_0952	Yersinia pseudotuberculosis YPIII	NC_010465.1	T6SS	T6SS-3	validated	10.1128/spectrum.04278-23
Pyocin_T6SS_YP	-	-	Yersinia pseudotuberculosis YPIII	NC_010465.1	T6SS	T6SS-3	validated	10.1128/spectrum.04278-23
Hcp4_YP	-	YPK_3553	Yersinia pseudotuberculosis YPIII	NC_010465.1	T6SS	T6SS-4	validated	10.1038/cr.2013.150
VgrG4_YP	-	YPK_3551	Yersinia pseudotuberculosis YPIII	NC_010465.1	T6SS	T6SS-4	validated	10.1038/cr.2013.150
# Salmonella enterica serovar Typhimurium 14028 — SPI-6 T6SS (i3 subtype). RefSeq NC_016856.1.
Tae4_Stm	-	STM14_0334	Salmonella enterica Typhimurium 14028	NC_016856.1	T6SS	SPI-6	validated	10.1016/j.chom.2012.06.002
Tlde1A	-	STM14_0336	Salmonella enterica Typhimurium 14028	NC_016856.1	T6SS	SPI-6	validated	10.1016/j.celrep.2020.107813
Tge2_Stm	-	STM14_0337	Salmonella enterica Typhimurium 14028	NC_016856.1	T6SS	SPI-6	validated	10.1016/j.celrep.2020.107813
Tldi1_immunity	-	STM14_0335	Salmonella enterica Typhimurium 14028	NC_016856.1	T6SS	SPI-6	validated	10.1016/j.celrep.2020.107813
Hcp1_Stm	-	STM14_0330	Salmonella enterica Typhimurium 14028	NC_016856.1	T6SS	SPI-6	validated	10.1073/pnas.1608858113
VgrG1_Stm	-	STM14_0332	Salmonella enterica Typhimurium 14028	NC_016856.1	T6SS	SPI-6	validated	10.1073/pnas.1608858113
Tre1_RhsA	-	STM14_0271	Salmonella enterica Typhimurium 14028	NC_016856.1	T6SS	SPI-6	predicted	10.3389/fmicb.2023.1252344
Tre2_RhsB	-	STM14_0272	Salmonella enterica Typhimurium 14028	NC_016856.1	T6SS	SPI-6	predicted	10.3389/fmicb.2023.1252344
Tox_Stm	-	-	Salmonella enterica Typhimurium 14028	NC_016856.1	T6SS	SPI-6	predicted	10.3389/fmicb.2023.1252344
# Salmonella enterica Dublin — SPI-19 T6SS (i1 subtype).
Tlde2_Dublin	-	-	Salmonella enterica Dublin	NC_011294	T6SS	SPI-19	predicted	10.1128/jb.00188-25
# Edwardsiella piscicida EIB202 — single T6SS (EVP cluster). RefSeq NC_013508.1.
EvpP	-	ETAE_0972	Edwardsiella piscicida EIB202	NC_013508.1	T6SS	EVP	validated	10.1016/j.chom.2019.03.004
EvpC_Hcp	-	ETAE_0975	Edwardsiella piscicida EIB202	NC_013508.1	T6SS	EVP	validated	10.1016/j.chom.2019.03.004
EvpI_VgrG	-	ETAE_0976	Edwardsiella piscicida EIB202	NC_013508.1	T6SS	EVP	validated	10.1016/j.chom.2019.03.004
EvpJ_PAAR	-	ETAE_0977	Edwardsiella piscicida EIB202	NC_013508.1	T6SS	EVP	validated	10.3389/fmicb.2021.643498
EvpQ_C70_protease	-	ETAE_2037	Edwardsiella piscicida EIB202	NC_013508.1	T6SS	MGE	validated	10.3389/fmicb.2021.643498
# Agrobacterium tumefaciens C58 — single T6SS. RefSeq NC_003063.2 (linear chromosome).
Tae_Atu4347	-	Atu4347	Agrobacterium tumefaciens C58	NC_003063.2	T6SS	T6SS	validated	10.1016/j.chom.2014.06.002
Tai_Atu4346	-	Atu4346	Agrobacterium tumefaciens C58	NC_003063.2	T6SS	T6SS	validated	10.1016/j.chom.2014.06.002
Tde1	-	Atu4350	Agrobacterium tumefaciens C58	NC_003063.2	T6SS	T6SS	validated	10.1016/j.chom.2014.06.002
Tdi1	-	Atu4351	Agrobacterium tumefaciens C58	NC_003063.2	T6SS	T6SS	validated	10.1016/j.chom.2014.06.002
Tde2	-	Atu3640	Agrobacterium tumefaciens C58	NC_003063.2	T6SS	T6SS	validated	10.1016/j.chom.2014.06.002
Tdi2	-	Atu3639	Agrobacterium tumefaciens C58	NC_003063.2	T6SS	T6SS	validated	10.1016/j.chom.2014.06.002
Hcp_AT	-	Atu4344	Agrobacterium tumefaciens C58	NC_003063.2	T6SS	T6SS	validated	10.1016/j.chom.2014.06.002
VgrG1_AT	-	Atu4348	Agrobacterium tumefaciens C58	NC_003063.2	T6SS	T6SS	validated	10.1016/j.chom.2014.06.002
VgrG2_AT	-	Atu3641	Agrobacterium tumefaciens C58	NC_003063.2	T6SS	T6SS	validated	10.1016/j.chom.2014.06.002
# Enteroaggregative E. coli 042 — Sci-1 + Sci-2 + (Sci-3) islands. RefSeq NC_017626.1.
Tle1_Sci1	-	EC042_4528	Escherichia coli 042	NC_017626.1	T6SS	Sci-1	validated	10.3389/fcimb.2018.00074
TssM_Sci1	-	EC042_4533	Escherichia coli 042	NC_017626.1	T6SS	Sci-1	validated	10.1371/journal.pgen.1002523
Hcp_Sci1	-	EC042_4544	Escherichia coli 042	NC_017626.1	T6SS	Sci-1	validated	10.1074/jbc.M112.426163
VgrG_Sci1	-	EC042_4545	Escherichia coli 042	NC_017626.1	T6SS	Sci-1	validated	10.1074/jbc.M112.426163
RhsA_Sci2	-	EC042_4660	Escherichia coli 042	NC_017626.1	T6SS	Sci-2	validated	10.1186/1471-2164-11-300
RhsB_Sci2	-	EC042_4661	Escherichia coli 042	NC_017626.1	T6SS	Sci-2	validated	10.1186/1471-2164-11-300
Tle3_Sci2	-	EC042_4675	Escherichia coli 042	NC_017626.1	T6SS	Sci-2	predicted	10.1101/2025.02.11.637775
Hcp_Sci2	-	EC042_4659	Escherichia coli 042	NC_017626.1	T6SS	Sci-2	validated	10.1186/1471-2164-11-300
# Uropathogenic E. coli UTI89 — encodes T6SS island.
Hcp_UTI89	-	UTI89_C3327	Escherichia coli UTI89	NC_007946.1	T6SS	T6SS	validated	10.1128/IAI.01386-08
# Pseudomonas putida KT2440 — single T6SS (additional multi-cluster organism worth flagging).
Tke1	-	PP_3084	Pseudomonas putida KT2440	NC_002947.4	T6SS	K1-T6SS	predicted	10.1038/s41467-020-15506-3
Tke2	-	PP_3088	Pseudomonas putida KT2440	NC_002947.4	T6SS	K1-T6SS	predicted	10.1038/s41467-020-15506-3
Tke3	-	PP_3090	Pseudomonas putida KT2440	NC_002947.4	T6SS	K1-T6SS	predicted	10.1038/s41467-020-15506-3
Tke4	-	PP_3092	Pseudomonas putida KT2440	NC_002947.4	T6SS	K1-T6SS	predicted	10.1038/s41467-020-15506-3
Tke5_Rhs1Pp	-	PP_3098	Pseudomonas putida KT2440	NC_002947.4	T6SS	K1-T6SS	predicted	10.1038/s41467-020-15506-3
# Burkholderia cenocepacia J2315 — antibacterial T6SS-6 (homologous to BT T6SS-1).
TecA	-	BCAL0824	Burkholderia cenocepacia J2315	NC_011000.1	T6SS	T6SS-6_BC	validated	10.1126/scisignal.aaf6332
TseR1	-	BCAS0667	Burkholderia cenocepacia K56-2	-	T6SS	T6SS-6_BC	validated	10.1371/journal.ppat.1007553
TseR2	-	BCAS0668	Burkholderia cenocepacia K56-2	-	T6SS	T6SS-6_BC	validated	10.1371/journal.ppat.1007553
