gene	uniprot	locus_tag	organism	refseq_genome	ss_type	sys_instance_id	evidence_level	primary_ref	family	length	proteome
apxIA	A0A1A8TEY0	MSP8886_02262	Marinomonas spartinae	FLOB01000000	T1SS		predicted	10.1128/iai.61.5.2056-2063.1993	ApxIA (A. pleuropneumoniae RTX-I)	3831	UP000092544
apxIA	A0A2S0PZ34	BMF81_00519	Nodularia spumigena UHCC 0039	CP020114	T1SS		predicted	10.1128/iai.61.5.2056-2063.1993	ApxIA (A. pleuropneumoniae RTX-I)	1434	UP000244056
apxIA	A0A5C5Z1T8	CA13_25880	Novipirellula herctigrandis	SJPJ01000000	T1SS		predicted	10.1128/iai.61.5.2056-2063.1993	ApxIA (A. pleuropneumoniae RTX-I)	953	UP000315010
apxIA	A0A1Y5TPX4	OCH7691_03169	Oceanibacterium hippocampi	FWFR01000000	T1SS	OCH7691_00939	predicted	10.1128/iai.61.5.2056-2063.1993	ApxIA (A. pleuropneumoniae RTX-I)	1117	UP000193200
apxIA	A0A238KV55	PEV8663_03146	Pelagimonas varians	FXYH01000000	T1SS		predicted	10.1128/iai.61.5.2056-2063.1993	ApxIA (A. pleuropneumoniae RTX-I)	921	UP000220836
apxIA	A0A0H5D103	NIT7321_01679	Phaeobacter italicus	CVRL01000000	T1SS		predicted	10.1128/iai.61.5.2056-2063.1993	ApxIA (A. pleuropneumoniae RTX-I)	2089	UP000043764
apxIA	A0A1T4Q376	CZ814_00935	Photobacterium toruni	FUWP01000000	T1SS		predicted	10.1128/iai.61.5.2056-2063.1993	ApxIA (A. pleuropneumoniae RTX-I)	1596	UP000191116
apxIA	A0A379FKF9	NCTC11938_02146	Proteus mirabilis	UGTS01000000	T1SS	NCTC11938_03826	predicted	10.1128/iai.61.5.2056-2063.1993	ApxIA (A. pleuropneumoniae RTX-I)	1385	UP000254191
apxIA	A0A1X6Z4P8	PSM7751_01829	Pseudooceanicola marinus	FWFN01000000	T1SS	PSM7751_01325	predicted	10.1128/iai.61.5.2056-2063.1993	ApxIA (A. pleuropneumoniae RTX-I)	4261	UP000193963
apxIA	A0A221K6S6	SULPSESMR1_05024	Pseudosulfitobacter pseudonitzschiae	CP022415	T1SS	SULPSESMR1_04023	predicted	10.1128/iai.61.5.2056-2063.1993	ApxIA (A. pleuropneumoniae RTX-I)	2569	UP000199754
apxIA	A0A1X6YZ14	ROH8110_01821	Roseovarius halotolerans	FWFU01000000	T1SS	ROH8110_00476	predicted	10.1128/iai.61.5.2056-2063.1993	ApxIA (A. pleuropneumoniae RTX-I)	1046	UP000193207
apxIA	A0A517NGL3	K227x_46810	Rubripirellula lacrimiformis	CP036525	T1SS		predicted	10.1128/iai.61.5.2056-2063.1993	ApxIA (A. pleuropneumoniae RTX-I)	979	UP000318538
apxIA	A0ABM7DRC1	STH12_03181	Shewanella khirikhana	CP020373	T1SS	STH12_03182	predicted	10.1128/iai.61.5.2056-2063.1993	ApxIA (A. pleuropneumoniae RTX-I)	3370	UP000278437
apxIA	A0A5B9MUK1	Mal15_68390	Stieleria maiorica	CP036264	T1SS		predicted	10.1128/iai.61.5.2056-2063.1993	ApxIA (A. pleuropneumoniae RTX-I)	3283	UP000321353
apxIA	A0A518HPV0	Enr13x_26670	Stieleria neptunia	CP037423	T1SS		predicted	10.1128/iai.61.5.2056-2063.1993	ApxIA (A. pleuropneumoniae RTX-I)	7121	UP000319004
apxIA	A0A0P1GMN0	TM5383_00662	Thalassovita mediterranea	CYSF01000000	T1SS	TM5383_01006	predicted	10.1128/iai.61.5.2056-2063.1993	ApxIA (A. pleuropneumoniae RTX-I)	905	UP000051681
apxIA	A0A655X807	ERS013201_01695	Vibrio cholerae	CWQJ01000000	T1SS		predicted	10.1128/iai.61.5.2056-2063.1993	ApxIA (A. pleuropneumoniae RTX-I)	1477	UP000046067
apxIIA	A0ABN3YQS6	AM202_0032	Actinobacillus minor 202	ACFT01000000	T1SS		predicted	10.1128/iai.61.5.2056-2063.1993	ApxIIA (A. pleuropneumoniae RTX-II)	956	UP000003394
apxIIA	Q5DI89	DDU33_08395	Actinobacillus porcitonsillarum	CP029206	T1SS		predicted	10.1128/iai.61.5.2056-2063.1993	ApxIIA (A. pleuropneumoniae RTX-II)	956	UP000244920
apxIIA	A0A380TL94	NCTC10801_00045	[Actinobacillus] rossii	UFRQ01000000	T1SS	NCTC10801_00046	predicted	10.1128/iai.61.5.2056-2063.1993	ApxIIA (A. pleuropneumoniae RTX-II)	956	UP000254649
apxIIIA	A0ABY6TKQ2	SAMEA1410922_01094	Actinobacillus porcinus	CABFKI010000000	T1SS		predicted	10.1128/iai.61.5.2056-2063.1993	ApxIIIA (A. pleuropneumoniae RTX-III)	1997	UP000308167
apxIIIA	A0A380TW60	NCTC10801_01831	[Actinobacillus] rossii	UFRQ01000000	T1SS	NCTC10801_01830	predicted	10.1128/iai.61.5.2056-2063.1993	ApxIIIA (A. pleuropneumoniae RTX-III)	1052	UP000254649
apxIVA	Q9ZIQ2	DRF63_05475	Actinobacillus pleuropneumoniae (Haemophilus pleuropneumoniae)	CP030753	T1SS		predicted	10.1099/00221287-145-8-2105	ApxIVA (A. pleuropneumoniae RTX-IV)	1805	UP000251823
apxIVA	A0A380VBX2	NCTC10851_00914	Actinobacillus seminis	UFSB01000000	T1SS		predicted	10.1099/00221287-145-8-2105	ApxIVA (A. pleuropneumoniae RTX-IV)	2185	UP000254507
bapA	A0A2Z6L7Z9		Paracoccus denitrificans (strain Pd 1222)		T1SS		predicted	10.1111/j.1365-2958.2005.04802.x	BapA (Salmonella biofilm-associated adhesin)	2211	
bapA	A0A3J4P9L9	EEM01_19775	Salmonella enterica (Salmonella choleraesuis)	RMTL01000000	T1SS		predicted	10.1111/j.1365-2958.2005.04802.x	BapA (Salmonella biofilm-associated adhesin)	3833	UP000839509
bapA	A0A3R0PZQ9	DTI44_21545	Salmonella enteritidis	RTTD01000000	T1SS		predicted	10.1111/j.1365-2958.2005.04802.x	BapA (Salmonella biofilm-associated adhesin)	3824	UP000839535
bapA	A0A3V2W354	WX36_06920	Salmonella hadar	VLRT01000000	T1SS		predicted	10.1111/j.1365-2958.2005.04802.x	BapA (Salmonella biofilm-associated adhesin)	3824	UP000316682
bapA	A0A3U9H443	GDG80_21550	Salmonella infantis	AAKLCC010000000	T1SS		predicted	10.1111/j.1365-2958.2005.04802.x	BapA (Salmonella biofilm-associated adhesin)	3824	UP000839930
cyaA	Q3SAJ8		Bordetella hinzii		T1SS		predicted	10.1002/j.1460-2075.1988.tb03249.x	CyaA (Bordetella adenylate cyclase toxin)	1706	
cyaA	Q7W1N2	BPP0321	Bordetella parapertussis (strain 12822 / ATCC BAA-587 / NCTC 13253)	BX470249	T1SS	BPP0322	predicted	10.1002/j.1460-2075.1988.tb03249.x	CyaA (Bordetella adenylate cyclase toxin)	1740	UP000001421
frpA	Q6MNW7	Bd1113	Bdellovibrio bacteriovorus (strain ATCC 15356 / DSM 50701 / NCIMB 9529 / HD100)	BX842601	T1SS		predicted	10.1046/j.1365-2958.1999.01587.x	FrpA (Neisseria iron-regulated RTX)	634	UP000008080
frpA	F4Q1W5	DFA_06651	Cavenderia fasciculata (Slime mold) (Dictyostelium fasciculatum)	ADHC01000000	T1SS		predicted	10.1046/j.1365-2958.1999.01587.x	FrpA (Neisseria iron-regulated RTX)	1242	UP000007797
frpA	Q54DR3	DDB_G0292068	Dictyostelium discoideum (Social amoeba)	CM000150	T1SS		predicted	10.1046/j.1365-2958.1999.01587.x	FrpA (Neisseria iron-regulated RTX)	1096	UP000002195
frpA	D3BE68	PPL_07021	Heterostelium pallidum (strain ATCC 26659 / Pp 5 / PN500) (Cellular slime mold) (Polysphondylium pallidum)	CP001838	T1SS		predicted	10.1046/j.1365-2958.1999.01587.x	FrpA (Neisseria iron-regulated RTX)	1111	UP000001396
frpA	F5S7Z9	HMPREF0476_1332	Kingella kingae ATCC 23330	AFHS01000000	T1SS		predicted	10.1046/j.1365-2958.1999.01587.x	FrpA (Neisseria iron-regulated RTX)	760	UP000004207
frpA	Q9K0K9	NMB0585	Neisseria meningitidis serogroup B (strain ATCC BAA-335 / MC58)	AE002098	T1SS	NMB1988	predicted	10.1046/j.1365-2958.1999.01587.x	FrpA (Neisseria iron-regulated RTX)	1302	UP000000425
frpA	A0A5F0YMM0	IC627_22510	Photobacterium damsela subsp. piscicida (Pasteurella piscicida)	CP061854	T1SS		predicted	10.1046/j.1365-2958.1999.01587.x	FrpA (Neisseria iron-regulated RTX)	660	UP000516656
frpC	A0A378U036	NCTC10660_01279	Neisseria elongata	UGQW01000000	T1SS		predicted	10.3390/toxins9100327	FrpC (Neisseria iron-regulated RTX)	1618	UP000254927
frpC	A0A3S5C9Y1	NCTC12742_00676	Neisseria weaveri	LR134533	T1SS		predicted	10.3390/toxins9100327	FrpC (Neisseria iron-regulated RTX)	1530	UP000272771
frpC	Q87EK2	PD_0305	Xylella fastidiosa (strain Temecula1 / ATCC 700964)	AE009442	T1SS		predicted	10.3390/toxins9100327	FrpC (Neisseria iron-regulated RTX)	1607	UP000002516
hasA	A0A1B8P0Z6	A8U91_00267	Halomonas elongata	MAJD01000000	T1SS		predicted	10.1002/j.1460-2075.1994.tb06846.x	HasA (heme-acquisition hemophore)	184	UP000092504
hasA	A0A7V8FNH9	GAK30_02221	Paracidovorax wautersii	WNDQ01000000	T1SS		predicted	10.1002/j.1460-2075.1994.tb06846.x	HasA (heme-acquisition hemophore)	221	UP000461670
hasA	A0AAX3FWK5	NCTC7357_02894	Pseudomonas chlororaphis	LR134334	T1SS	NCTC7357_02893	predicted	10.1002/j.1460-2075.1994.tb06846.x	HasA (heme-acquisition hemophore)	206	UP000277437
hasA	A0A5M9IQB7	FX985_04602	Pseudomonas extremaustralis	VTFH01000000	T1SS		predicted	10.1002/j.1460-2075.1994.tb06846.x	HasA (heme-acquisition hemophore)	206	UP000323425
hasA	A0A5E6YEC1	PS685_00798	Pseudomonas fluorescens	CABVHO010000000	T1SS		predicted	10.1002/j.1460-2075.1994.tb06846.x	HasA (heme-acquisition hemophore)	209	UP000326437
hasA	A0AAX2HCB4	PLUA15_520003	Pseudomonas lundensis	OBKZ01000000	T1SS		predicted	10.1002/j.1460-2075.1994.tb06846.x	HasA (heme-acquisition hemophore)	209	UP000219564
hasA	A0ABM9SZP3	ERS137966_03287	Yersinia aldovae	CQEH01000000	T1SS		predicted	10.1002/j.1460-2075.1994.tb06846.x	HasA (heme-acquisition hemophore)	211	UP000038647
hasA	A0A0H5GXG9	ERS137941_03385	Yersinia enterocolitica	CGBR01000000	T1SS		predicted	10.1002/j.1460-2075.1994.tb06846.x	HasA (heme-acquisition hemophore)	206	UP000048841
hasA	A0AAX2HVZ1	NCTC5923_00338	Yersinia pestis	AE017042	T1SS	YP_3128	predicted	10.1002/j.1460-2075.1994.tb06846.x	HasA (heme-acquisition hemophore)	205	UP000001019
HasA	Q66G68	YPTB0114	Yersinia pseudotuberculosis serotype I (strain IP32953)	BX936398	T1SS		predicted	10.1002/j.1460-2075.1994.tb06846.x	HasA (heme-acquisition hemophore)	205	UP000001011
hlyA	A0A518GE08	Q31a_52080	Aureliella helgolandensis	CP036298	T1SS	Q31a_31320	predicted	10.1128/jb.163.1.94-105.1985	HlyA (E. coli alpha-hemolysin)	929	UP000318017
hlyA	A0A3S4LDU9	NCTC9695_00416	Chromobacterium violaceum	LR134182	T1SS	NCTC9695_00407	predicted	10.1128/jb.163.1.94-105.1985	HlyA (E. coli alpha-hemolysin)	1627	UP000275777
hlyA	A0A447IFH5	DEVEQU_03361	Devosia equisanguinis	UZWD01000000	T1SS		predicted	10.1128/jb.163.1.94-105.1985	HlyA (E. coli alpha-hemolysin)	1453	UP000268844
hlyA	A0A1E7X5B7	DUPY_09500	Duganella phyllosphaerae	LROM01000000	T1SS		predicted	10.1128/jb.163.1.94-105.1985	HlyA (E. coli alpha-hemolysin)	1047	UP000175989
ehxA	A0A2P0WL73	E2863_05587	Escherichia coli	AP018802	T1SS	NCTC10279_04500	predicted	10.1128/jb.163.1.94-105.1985	HlyA (E. coli alpha-hemolysin)	998	UP000281900
hlyA	A0A2C9D5I2	HDIA_1952	Hartmannibacter diazotrophicus	LT960614	T1SS		predicted	10.1128/jb.163.1.94-105.1985	HlyA (E. coli alpha-hemolysin)	975	UP000223606
hlyA	A0A380N2U6	NCTC10717_02362	Suttonella indologenes	UHIA01000000	T1SS		predicted	10.1128/jb.163.1.94-105.1985	HlyA (E. coli alpha-hemolysin)	1006	UP000254575
hlyA	A0A1R4LAQ9	VR7878_00338	Vibrio ruber (strain DSM 16370 / JCM 11486 / BCRC 17186 / CECT 7878 / LMG 23124 / VR1)	FULE01000000	T1SS		predicted	10.1128/jb.163.1.94-105.1985	HlyA (E. coli alpha-hemolysin)	1407	UP000188276
hlyA	A0A1N6M9R2	VSP9026_03907	Vibrio spartinae	FSSB01000000	T1SS		predicted	10.1128/jb.163.1.94-105.1985	HlyA (E. coli alpha-hemolysin)	1566	UP000184774
HlyA	A0A3G5LC70	NCTC5923_03907	Yersinia pestis	AE009952	T1SS		predicted	10.1128/jb.163.1.94-105.1985	HlyA (E. coli alpha-hemolysin)	1576	UP000002490
HlyA	A0A380Q8I1	NCTC8580_02238	Yersinia pseudotuberculosis	UHJC01000000	T1SS		predicted	10.1128/jb.163.1.94-105.1985	HlyA (E. coli alpha-hemolysin)	1078	UP000255087
HlyA	A0ABP1ZCV8	ERS008478_02252	Yersinia wautersii	CVMG01000000	T1SS		predicted	10.1128/jb.163.1.94-105.1985	HlyA (E. coli alpha-hemolysin)	1638	UP000047420
hlyA	A0A5S9QWJ1	KFEGEMFD_04010	Zhongshania aliphaticivorans	CACSIM010000000	T1SS		predicted	10.1128/jb.163.1.94-105.1985	HlyA (E. coli alpha-hemolysin)	1637	UP000439591
hlyA	A0A379B7P4	NCTC10699_02173	[Pasteurella] mairii	UGSS01000000	T1SS		predicted	10.1128/jb.163.1.94-105.1985	HlyA (E. coli alpha-hemolysin)	1049	UP000254280
lapA	A0ABM7E8Y9	PP4_01640	Pseudomonas putida NBRC 14164	AP013070	T1SS		predicted	10.1046/j.1365-2958.2003.03615.x	LapA (Pseudomonas large adhesin)	4924	UP000016702
lapF	A1K6L8	azo1856	Azoarcus sp. (strain BH72)	AM406670	T1SS		predicted	10.3390/pathogens7040093	LapF (Pseudomonas large adhesin)	304	UP000002588
lapF	C1DN56	Avin_30580	Azotobacter vinelandii (strain DJ / ATCC BAA-1303)	CP001157	T1SS		predicted	10.3390/pathogens7040093	LapF (Pseudomonas large adhesin)	304	UP000002424
PLEKHF1	Q96S99	ZFYVE15	Homo sapiens (Human)	CM000663	T1SS		predicted	10.3390/pathogens7040093	LapF (Pseudomonas large adhesin)	279	UP000005640
Plekhf1	Q3TB82	Plekhf1	Mus musculus (Mouse)	CM000994	T1SS		predicted	10.3390/pathogens7040093	LapF (Pseudomonas large adhesin)	279	UP000000589
lapF	Q7WYE4	PSAKL28_05970	Pseudomonas alkylphenolica	CP009048	T1SS		predicted	10.3390/pathogens7040093	LapF (Pseudomonas large adhesin)	304	UP000028931
lapF	Q3KK32	Pfl01_0130	Pseudomonas fluorescens (strain Pf0-1)	CP000094	T1SS		predicted	10.3390/pathogens7040093	LapF (Pseudomonas large adhesin)	251	UP000002704
lapF	A0A1D3JYR6	PVE_R1G3283	Pseudomonas veronii 1YdBTEX2	LT599583	T1SS		predicted	10.3390/pathogens7040093	LapF (Pseudomonas large adhesin)	304	UP000245431
lktA	A0A6N2SN05	CULFYP111_00966	Campylobacter ureolyticus		T1SS		predicted	10.1016/S0021-9258(19)84909-X	LktA (Mannheimia leukotoxin)	949	
lktA	H9CIJ3		Fusobacterium necrophorum subsp. necrophorum		T1SS		predicted	10.1016/S0021-9258(19)84909-X	LktA (Mannheimia leukotoxin)	971	
lktA	A0AAX2J245	NCTC10529_00286	Kingella kingae	LS483426	T1SS		predicted	10.1016/S0021-9258(19)84909-X	LktA (Mannheimia leukotoxin)	956	UP000248598
lktA	Q6TB03		Mannheimia ruminalis		T1SS		predicted	10.1016/S0021-9258(19)84909-X	LktA (Mannheimia leukotoxin)	953	
lktA	A0A5B9PAA7	MFFC18_32040	Mariniblastus fucicola	CP042912	T1SS		predicted	10.1016/S0021-9258(19)84909-X	LktA (Mannheimia leukotoxin)	1103	UP000322214
mbxA	Q93GI2	NCTC9426_00272	Moraxella bovis	UGPZ01000000	T1SS		predicted	10.1016/S0021-9258(19)84909-X	LktA (Mannheimia leukotoxin)	927	UP000254133
lktA	A0A378QVZ2	NCTC12877_00117	Moraxella caprae	UGQB01000000	T1SS		predicted	10.1016/S0021-9258(19)84909-X	LktA (Mannheimia leukotoxin)	941	UP000254065
movA	A7ISL2	NCTC11227_01506	Moraxella ovis	CP011158	T1SS		predicted	10.1016/S0021-9258(19)84909-X	LktA (Mannheimia leukotoxin)	927	UP000076765
lktA	A0A0U1NLD2	NIG5292_01575	Nereida ignava	CVQV01000000	T1SS		predicted	10.1016/S0021-9258(19)84909-X	LktA (Mannheimia leukotoxin)	1137	UP000048949
lktA	A0A6C2UN26	SCARR_02824	Pontiella sulfatireligans	CAAHFH010000000	T1SS		predicted	10.1016/S0021-9258(19)84909-X	LktA (Mannheimia leukotoxin)	884	UP000346198
lktA	A0A1Y5TNF0	PEL8287_03783	Roseovarius litorisediminis	FWFL01000000	T1SS		predicted	10.1016/S0021-9258(19)84909-X	LktA (Mannheimia leukotoxin)	935	UP000193827
ltxA	A0A1Z3HL21	XM38_019470	Halomicronema hongdechloris C2206	CP021983	T1SS		predicted	10.1046/j.1365-2958.2000.02013.x	LtxA (Aggregatibacter leukotoxin)	1121	UP000191901
ltxA	A0A5E4VXG0	PTE30175_02788	Pandoraea terrae	CABPRZ010000000	T1SS		predicted	10.1046/j.1365-2958.2000.02013.x	LtxA (Aggregatibacter leukotoxin)	1119	UP000414233
ltxA	A0A221K0V6	SULPSESMR1_01733	Pseudosulfitobacter pseudonitzschiae	CP022415	T1SS		predicted	10.1046/j.1365-2958.2000.02013.x	LtxA (Aggregatibacter leukotoxin)	1189	UP000199754
