gene	uniprot	locus_tag	organism	refseq_genome	ss_type	sys_instance_id	evidence_level	primary_ref
Etf-3	-	ECH_1136	Ehrlichia chaffeensis Arkansas	NC_007799.1	T4SS	VirB	predicted	10.1371/journal.ppat.1005523
ECH_0664	-	ECH_0664	Ehrlichia chaffeensis Arkansas	NC_007799.1	T4SS	VirB	predicted	10.1128/IAI.00513-13
ECH_0379	Q2GH84	ECH_0379	Ehrlichia chaffeensis Arkansas	NC_007799.1	T4SS	VirB	predicted	10.1128/IAI.00513-13
NlmA	-	ECH_0822	Ehrlichia chaffeensis Arkansas	NC_007799.1	T4SS	VirB	validated	10.1111/cmi.12733
EBP	-	ECH_0660	Ehrlichia chaffeensis Arkansas	NC_007799.1	T4SS	VirB	predicted	10.1128/IAI.00513-13
WalE1	A0A6I6CL34	E0495_06075	Wolbachia pipientis wMel	NC_002978.6	T4SS	VirB	validated	10.1038/s41467-024-50776-1
CifA	A0A6I6CU84	E0495_02270	Wolbachia pipientis wMel	NC_002978.6	T4SS	VirB	validated	10.1038/nature21391
CifB	A0A6I6CLL5	E0495_02275	Wolbachia pipientis wMel	NC_002978.6	T4SS	VirB	validated	10.1038/nature21391
CidA	-	WP1346	Wolbachia pipientis wPip	-	T4SS	VirB	validated	10.1038/nature21391
CidB	-	WP1347	Wolbachia pipientis wPip	-	T4SS	VirB	validated	10.1038/nature21391
Sca4	Q52658	RC0667	Rickettsia conorii Malish 7	NC_003103.1	T4SS	VirB	validated	10.1126/science.abm9836
RalF_Rp	B0BX96	RrIowa_0604	Rickettsia rickettsii Iowa	NC_010263.3	T4SS	VirB	validated	10.1073/pnas.0511167103
Risk1	-	RPR_07770	Rickettsia parkeri	-	T4SS	VirB	validated	10.1126/sciadv.abp9929
RARP-1	-	RPR_RS04075	Rickettsia parkeri	-	T4SS	VirB	validated	10.1128/IAI.00782-19
RalF_Lp	Q5ZXQ7	lpg1950	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1126/science.1067025
MavL	Q5ZSJ1	lpg2526	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1038/s44320-024-00076-z
MavC	-	lpg2147	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1038/nature25178
MvcA	Q5ZTL4	lpg2148	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1038/s41594-020-0444-2
SdjA	-	lpg2155	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1038/s41589-020-0700-0
SdcA	-	lpg2510	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1038/s44320-024-00076-z
SdcB	-	lpg3022	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1038/s44320-024-00076-z
AnkB	-	lpg2144	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1111/cmi.12482
SidD	Q5ZSQ2	lpg2465	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1038/nature10335
SidH	-	lpg2829	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1126/science.aab4151
SidI	-	lpg2504	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1073/pnas.1810122115
VipA	-	lpg0390	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1371/journal.ppat.1002500
VipD	-	lpg2831	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1038/nature11724
VipF	-	lpg0589	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1126/science.1067025
LegU1	-	lpg2887	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1038/emboj.2010.21
LegA9	-	lpg2452	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1111/cmi.12480
LegC4	-	lpg2410	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1371/journal.ppat.1006744
LegL7	-	lpg2098	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1038/s44320-024-00076-z
Lem4	-	lpg0928	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1073/pnas.1810122115
Lem8	-	lpg0945	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1038/s44320-024-00076-z
Lem14	-	lpg1851	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1038/s44320-024-00076-z
Lem27	-	lpg2552	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1038/s44320-024-00076-z
PieG_LegG1	-	lpg2603	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1038/emboj.2012.241
PieE	-	lpg1924	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1038/s44320-024-00076-z
PieF	-	lpg1959	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1038/s44320-024-00076-z
PieC	-	lpg1962	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1038/s44320-024-00076-z
WipB	-	lpg2718	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1038/s44320-024-00076-z
Ceg9	-	lpg0246	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1371/journal.ppat.1004261
RidL	-	lpg2311	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1083/jcb.201406048
MitF	-	lpg2818	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1126/science.aab1567
LpdA	-	lpg1888	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1111/j.1462-5822.2007.00928.x
Lgt1	-	lpg1368	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1126/science.1158333
Lgt2	-	lpg2862	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1126/science.1158333
Lgt3	-	lpg1488	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1126/science.1158333
MavQ	-	lpg2813	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1083/jcb.201906133
RavD	-	lpg0160	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1074/jbc.M113.502120
RavZ	Q5ZUV9	lpg1683	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1126/science.1227026
LegC3	-	lpg1701	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1371/journal.ppat.1006039
LnaB	-	lpg2455	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1038/s41586-024-07572-0
MavM	-	lpg2522	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1038/s44320-024-00076-z
LotA	-	lpg2248	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.15252/embj.2019103258
LotB	-	lpg1621	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.15252/embj.2020107656
LotC	-	lpg2529	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.15252/embj.2020107656
SidU	-	lpg2965	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1038/s44320-024-00076-z
SidL	-	lpg2580	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1038/s44320-024-00076-z
SidP	-	lpg0130	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1074/jbc.M111.291849
Lem3	-	lpg0696	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1038/nature10337
Lem25	-	lpg2422	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1038/s44320-024-00076-z
MavE	-	lpg2456	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1038/s44320-024-00076-z
MavF	-	lpg2391	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1038/s44320-024-00076-z
MavG	-	lpg0962	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1038/s44320-024-00076-z
MavN	-	lpg2815	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.7554/eLife.16793
MavS	-	lpg0376	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1038/s44320-024-00076-z
Ceg14	-	lpg0437	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1038/s44320-024-00076-z
Ceg19	-	lpg0621	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1038/s44320-024-00076-z
Ceg23	-	lpg0758	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1038/s44320-024-00076-z
Ceg29	-	lpg2240	Legionella pneumophila Philadelphia 1	NC_002942.5	T4SS	DotIcm	validated	10.1038/s44320-024-00076-z
CinF	-	CBU0041	Coxiella burnetii RSA493	NC_002971.4	T4SS	DotIcm	validated	10.1073/pnas.2102337118
CirD	-	CBU0937	Coxiella burnetii RSA493	NC_002971.4	T4SS	DotIcm	validated	10.1371/journal.ppat.1010660
CBU0626	-	CBU0626	Coxiella burnetii RSA493	NC_002971.4	T4SS	DotIcm	validated	10.1128/IAI.00558-19
CBU1216a	-	CBU1216a	Coxiella burnetii RSA493	NC_002971.4	T4SS	DotIcm	predicted	10.1371/journal.ppat.1002056
CoxB1	-	CBU1633	Coxiella burnetii RSA493	NC_002971.4	T4SS	DotIcm	predicted	10.1073/pnas.2217602120
CoxC1	-	CBU0388	Coxiella burnetii RSA493	NC_002971.4	T4SS	DotIcm	predicted	10.1073/pnas.2217602120
NopA	-	CBU1217	Coxiella burnetii RSA493	NC_002971.4	T4SS	DotIcm	validated	10.1371/journal.ppat.1006027
